id_kasus,nomor_perkara,fakta_hukum,pasal_dilanggar
CASE_029,2/PID.SUS/2015/PN,atas keterangan saksi tersebut terdakwa menyatakan tidak benar karena terdakwa tidak pernah menyembunyikan saksi korban dalam sokal padi; 4...,PASAL 44 UU KDRT (DEFAULT)
CASE_030,03-K/PM.III-12/AD/I/2025,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 49 UU NOMOR 23
CASE_031,HP,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_032,330,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_033,341/PID.SUS/2024/PN,"terdakwa diajukan ke persidangan oleh penuntut umum didakwa berdasarkan surat dakwaan tunggal sebagai berikut: bahwa terdakwa terdakwa pada hari senin tanggal 17 juli 2023, sekira jam...",PASAL 44 UU KDRT (DEFAULT)
CASE_034,23,atas keterangan saksi tersebut terdakwa membenarkannya; 2...,PASAL 44 UU KDRT (DEFAULT)
CASE_035,38-K/PM.I-05/AD/VIII/2024,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_036,39-K/PM.II-11/AD/VII/2025DEMI,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_037,39-K,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_038,3/PID.SUS/2015/PN,"terhadap keterangan saksi tersebut, terdakwa menyatakan benar dan tidak keberatan;3...",PASAL 44 UU KDRT (DEFAULT)
CASE_039,4-K/PM.I-04/AD/I/2025,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_040,40-K/PM.I-04/AD/IV/2025,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_041,40-K/PM.I-05/AD/X/2024,"buku kutipan akta nikah merupakan akta yang berisi pernyataan resmi tentang pernikahan yang telah berlangsung antara terdakwa dengan saksi-1, sehingga majelis hakim mengubah kategori barang bukti 2 (dua) buah buku kutipan akta nikah tersebut menjadi barang bukti berupa surat; 2...",PASAL 44 UU KDRT (DEFAULT)
CASE_042,602/52/VIII/2008,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 AYAT 4
CASE_043,45,putusan pengadilan militer tinggi ii-jakarta tersebut telah diberitahukan kepada terdakwa pada tanggal 21 desember 2020 dan terdakwa tersebut mengajukan permohonan kasasi pada tanggal 23 desember 2020 serta memori kasasinya telah diterima di kepaniteraan pengadilan militer tinggi ii-jakarta pada tan...,PASAL 44 UU KDRT (DEFAULT)
CASE_044,47-K/PM.III-12/AL/IV/2025,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_045,23,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 2 AYAT 1
CASE_046,-----,"majelis hakim pengadilan tinggi yogyakarta setelah memeriksa permohonan banding penuntut umum dan terdakwa ternyata bahwa permohonan banding tersebut telah diajukan dalam tenggang waktu dan menurut cara serta syarat-syarat yang ditentukan oleh undang-undang, maka permintaan banding tersebut secara f...",PASAL 44 UU KDRT (DEFAULT)
CASE_047,55-K/PM.I-02/AD/VII/2023,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_048,55/PID.SUS/2015/PN,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_049,56-K/PM.I-02/AD/VII/2023,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_050,59-K/PM.I-02/AD/VI/2025,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_051,62-K/PM.III-12/AL/V/2025,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_052,63-K/PM.II-11/AD/XI/2023,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_053,23,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 185 AYAT 6
CASE_054,67-K/PM.III-12/AL/V/2025,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_055,716/PID.SUS/2014/PN.KPN.DEMI,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_056,8,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_057,76-K/PM,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 5 AYAT 1
CASE_058,3102929,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
CASE_059,893,putusan pengadilan tinggi jawa timur tersebut telah diberitahukan kepada penuntut umum pada kejaksaan negeri sidoarjo pada tanggal 28 november 2018 dan penuntut umum tersebut mengajukan permohonan kasasi pada tanggal 12 desember 2018 serta memori kasasinya telah diterima di kepaniteraan pengadilan n...,PASAL 44 UU KDRT (DEFAULT)
CASE_060,93-K/PMT.II/BDG/AU/VII/2024DEMI,Terdakwa terbukti melakukan kekerasan fisik/psikis dalam lingkup rumah tangga sebagaimana fakta persidangan.,PASAL 44 UU KDRT (DEFAULT)
